rank,anum,verdict,engine,file
5502,A299362,PROOF,transfer-matrix,papers/05501-06000/05502-PROOF.pdf
5503,A304897,PROOF,transfer-matrix,papers/05501-06000/05503-PROOF.pdf
5504,A316579,PROOF,transfer-matrix,papers/05501-06000/05504-PROOF.pdf
5505,A207416,PROOF,transfer-matrix,papers/05501-06000/05505-PROOF.pdf
5506,A207029,PROOF,transfer-matrix,papers/05501-06000/05506-PROOF.pdf
5507,A207072,PROOF,transfer-matrix,papers/05501-06000/05507-PROOF.pdf
5508,A230651,PROOF,white-squares,papers/05501-06000/05508-PROOF.pdf
5509,A241346,PROOF,neighbour-condition,papers/05501-06000/05509-PROOF.pdf
5510,A252329,PROOF,subblock-3x3,papers/05501-06000/05510-PROOF.pdf
5511,A252402,PROOF,subblock-3x3,papers/05501-06000/05511-PROOF.pdf
5512,A252618,PROOF,subblock-3x3,papers/05501-06000/05512-PROOF.pdf
5513,A252510,PROOF,subblock-3x3,papers/05501-06000/05513-PROOF.pdf
5514,A253373,PROOF,monotone-subblock,papers/05501-06000/05514-PROOF.pdf
5515,A203825,PROOF,transfer-matrix,papers/05501-06000/05515-PROOF.pdf
5516,A203921,PROOF,transfer-matrix,papers/05501-06000/05516-PROOF.pdf
5517,A206254,PROOF,transfer-matrix,papers/05501-06000/05517-PROOF.pdf
5518,A252552,PROOF,subblock-3x3,papers/05501-06000/05518-PROOF.pdf
5519,A252568,PROOF,subblock-3x3,papers/05501-06000/05519-PROOF.pdf
5520,A260205,PROOF,subblock-3x3,papers/05501-06000/05520-PROOF.pdf
5521,A260978,PROOF,subblock-3x3,papers/05501-06000/05521-PROOF.pdf
5522,A264623,PROOF,transfer-matrix,papers/05501-06000/05522-PROOF.pdf
5523,A264874,PROOF,transfer-matrix,papers/05501-06000/05523-PROOF.pdf
5524,A253372,PROOF,monotone-subblock,papers/05501-06000/05524-PROOF.pdf
5525,A205212,PROOF,transfer-matrix,papers/05501-06000/05525-PROOF.pdf
5526,A304229,PROOF,transfer-matrix,papers/05501-06000/05526-PROOF.pdf
5527,A305585,PROOF,transfer-matrix,papers/05501-06000/05527-PROOF.pdf
5528,A253371,PROOF,monotone-subblock,papers/05501-06000/05528-PROOF.pdf
5529,A223215,PROOF,transfer-matrix,papers/05501-06000/05529-PROOF.pdf
5530,A183341,PROOF,adjacency-precedence,papers/05501-06000/05530-PROOF.pdf
5531,A258685,PROOF,subblock-line-sum,papers/05501-06000/05531-PROOF.pdf
5532,A251822,PROOF,subblock-line-sum,papers/05501-06000/05532-PROOF.pdf
5533,A260244,PROOF,subblock-3x3,papers/05501-06000/05533-PROOF.pdf
5534,A304131,PROOF,transfer-matrix,papers/05501-06000/05534-PROOF.pdf
5535,A253370,PROOF,monotone-subblock,papers/05501-06000/05535-PROOF.pdf
5536,A197346,PROOF,transfer-matrix,papers/05501-06000/05536-PROOF.pdf
5537,A237570,PROOF,subblock-difference,papers/05501-06000/05537-PROOF.pdf
5538,A233953,PROOF,transfer-matrix,papers/05501-06000/05538-PROOF.pdf
5539,A296722,PROOF,transfer-matrix,papers/05501-06000/05539-PROOF.pdf
5540,A305513,PROOF,transfer-matrix,papers/05501-06000/05540-PROOF.pdf
5541,A283854,PROOF,neighbour-set,papers/05501-06000/05541-PROOF.pdf
5542,A207691,PROOF,transfer-matrix,papers/05501-06000/05542-PROOF.pdf
5543,A207926,PROOF,transfer-matrix,papers/05501-06000/05543-PROOF.pdf
5544,A209222,PROOF,transfer-matrix,papers/05501-06000/05544-PROOF.pdf
5545,A254162,PROOF,monotone-subblock,papers/05501-06000/05545-PROOF.pdf
5546,A250386,PROOF,window-condition,papers/05501-06000/05546-PROOF.pdf
5547,A253369,PROOF,monotone-subblock,papers/05501-06000/05547-PROOF.pdf
5548,A253329,PROOF,monotone-subblock,papers/05501-06000/05548-PROOF.pdf
5549,A231759,PROOF,neighbour-set,papers/05501-06000/05549-PROOF.pdf
5550,A231801,PROOF,neighbour-set,papers/05501-06000/05550-PROOF.pdf
5551,A188562,PROOF,transfer-matrix,papers/05501-06000/05551-PROOF.pdf
5552,A295093,PROOF,transfer-matrix,papers/05501-06000/05552-PROOF.pdf
5553,A295249,PROOF,transfer-matrix,papers/05501-06000/05553-PROOF.pdf
5554,A295348,PROOF,transfer-matrix,papers/05501-06000/05554-PROOF.pdf
5555,A295527,PROOF,transfer-matrix,papers/05501-06000/05555-PROOF.pdf
5556,A295648,PROOF,transfer-matrix,papers/05501-06000/05556-PROOF.pdf
5557,A298837,PROOF,transfer-matrix,papers/05501-06000/05557-PROOF.pdf
5558,A301396,PROOF,transfer-matrix,papers/05501-06000/05558-PROOF.pdf
5559,A316548,PROOF,transfer-matrix,papers/05501-06000/05559-PROOF.pdf
5560,A206050,PROOF,edge-count,papers/05501-06000/05560-PROOF.pdf
